"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","2115.31488","2139.34739","2164.330655","2186.229505","2250.678807","2268.5772876","6713.3210307","6887.82128940001","18308.490051","20884.779735","21663.972321","26469.051663","28765.202274","27049.670037","29122.952892","32749.546164","22228.80186","31463.363496","4201.724401","4452.564067","4500.980834","4564.183918","4827.357234","4990.441505","5099.890432","5122.300617","1469.479998","6808.3743","1328.955446","1232.212051","1910.373647","1874.092332","1963.891076","1962.541525","1968.3839","2008.814997","2154.175177","2405.583733","2559.390491","2563.68947488044","2715.33340591029","2808.42368261729","2891.24885877526","","","","","","","","","","","","","",
"Andorra","AND","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","15074636.16791","9926516.696","10429108.72374","11121024.85241","10073593.51807","11453533.0222","10622837.39206","11819205.451195","12109009.48462","15050516.929075","13279532.0196","12006446.821645","13183204.981825","13147639.07454","9259611.184435","9357367.400315","8877717.397755","11570603.21341","8779801.2558","9687458.232145","15449277.08036","15528074.797237","15636288.2052243","15828823.8339826","16198643.4983429","16683807.1246634","16971852.0326661","17415701.5896911","18125227.3466935","17858649.5128605","17913939.1504903","18680104.5355861","19583628.9652268","20366526.7031224","21184894.6615769","21703819.4872166","21741096.2037668","22984360.8401193","24122660.6246798","23825462.9118628","24913935.5402069","24991755.2148825","25355386.107233","25805996.3290564","26344417.1084298","26320450.4784203","26639651.6893592","26929868.2840327","27110070.0816116","18582736.4684562","11119264.961776","","","","","",
"Afghanistan","AFG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","715330.815","719588.910000001","652042.4","676787.705","762244.3782","743282.364","752089.401","777611.330999999","770728.217999999","761076.824999999","800254.565999999","806327.084999999","796381.983","781449.03","728218.3971","690832.5819","625742.5824","632425.8723","660924.0348","629796.807","820264.079480001","812923.370277061","754303.474425176","755668.43568","750551.383607411","773420.790908115","832761.12208","889415.521788115","925550.502007412","989026.709025176","895993.871533291","821957.53","929795.092213291","982669.454531884","974351.614718466","998064.302048946","1031119.23212447","1083274.34083859","1166015.37518211","1244924.52419386","1452144.30003934","1585664.88226743","1373332.18832764","827337.602471054","890850.547315527","950778.660290352","953593.866598594","970451.336266582","992613.510616231","405090.650918594","248952.36312","","","","","",
"Africa Western and Central","AFW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","3796472.99911334","3657783.87053334","3726141.92571833","4054270.06727834","3512365.08755167","3604596.732535","3745050.32166333","4178585.96076166","3783848.28453667","4332518.096865","4879594.667875","4171959.76646","4634638.13662","4433648.746855","4337093.717305","4091359.32083667","4120272.64194667","4306159.86208666","4066199.430765","4444598.17171333","7703360.175248","8344864.59863775","8765663.26157828","8861465.10754798","10004358.9581519","10117018.1161492","10590227.68969","10623698.4683556","10604221.5021979","10542945.2334669","10914699.9919243","10988212.8058518","10914416.6543937","11547498.4353333","11706623.4529733","12232484.7932985","12142544.2747909","12077003.7400909","12294404.0974523","12090369.529615","12883908.2489178","13339734.3724665","13595250.2098194","14127112.9978724","14508773.0295758","14725030.1002506","15314207.2296451","15511572.8643326","16026354.9284149","11066981.8384281","6949499.118936","","","","","",
"Angola","AGO","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","3032430.054","1958108.5715","2110282.535","2212633.456","2049140.9085","2265894.30153","1960849.22859","2221734.02118","2357990.84358","2888877.25047","2448095.17416","2136634.54296","2307433.90608","2287455.07632","1829793.33978","1872423.73233","1835103.09615","2382784.14474","1822575.0558","2006492.29518","3151420.2674816","2836886.89002022","3825895.07186211","2708713.91953105","2972285.87664565","3203761.2944513","3160016.57551578","2526178.67709789","2698443.05574684","2719548.41739859","2649516.91511859","2644917.70636","2707335.48417789","2899730.03312281","2982882.6930607","2929673.59777789","2944933.4956414","3058198.81875297","3130939.0091407","3209119.37450886","3365870.12549279","3434864.66570686","3441306.03102883","1594519.82175156","1614856.19723859","1689904.83372141","1670806.38448844","1584322.76894492","1453360.48593508","1027777.8038607","566248.4496","","","","","",
"Albania","ALB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","348043.41","347501.805","380663.305","367424.605","389265.8793","401524.887","432019.8984","456398.0259","509798.8662","573666.2733","583112.7942","536538.4875","547256.8311","589946.2587","622977.1125","602900.7381","616034.355","620949.6432","642798.2217","640189.5819","723991.84392","548679.947947528","415759.26372","407647.594568767","456721.027351412","436061.750934237","419927.521818352","374290.17263453","367314.45025053","447833.318126645","541233.614229291","468425.760194709","511887.276248","534650.496610352","516085.649409649","553667.22146906","538860.213985879","624980.350914709","539897.257541879","539703.092517024","564546.664523992","582185.790113187","581741.445805485","175676.784220703","184293.406002709","180473.793820115","177301.372794352","189431.154205648","185104.785085061","118619.068795527","66434.35952","","","","","",
"Andorra","AND","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8176.329152","8192.19068461023","8208.05118861023","8356.88766246326","8339.77316646326","8720.5137133786","9340.76093414697","9696.12806585303","10283.3994058307","10837.6944993898","11193.0616390958","11234.7499430958","11442.3904473674","11617.0547132205","12189.5749027795","12563.1673769042","12140.8753027795","12116.4393907795","12157.9554787795","11801.6156430735","11943.1317009265","11418.6185033674","11391.9611913674","11199.3516790958","10933.7664433898","11013.0610932428","11172.6562070958","11166.2983590958","11576.7256350735","7993.30474892651","4620.589112","","","","","",
"Netherlands Antilles","ANT","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","28170465.163278","29424253.765782","31875813.135712","35663291.079994","34651848.297808","34882278.005352","39569050.20475","40798523.0808","42184942.689","45069058.46831","47313426.08386","42936947.24223","45314506.99814","46037984.43112","45330119.14756","38786345.98737","40313287.29788","40572282.54038","42223625.88761","44157933.08294","59066677.0330468","59837992.146541","61156999.606845","64688215.6943746","67400379.8294143","80513520.1158527","82685293.4978712","84358106.0306446","106042530.192874","108519260.631818","114348819.477454","110464088.206998","117614385.68049","120124342.683814","110154806.172583","117064641.453895","116933266.368139","144004321.959866","146670011.970949","148681887.563608","135165657.67243","155467601.370026","138929813.937585","46975478.8371106","48204639.513419","49267810.4729215","50217408.8407855","51067002.1032619","51308849.1088354","36780444.2233039","21458846.969504","","","","","",
